Date,ASIN,Price,Name
2018/04/29 19:34:08,B01ND3Z3DZ,56.0,Men's Barnes Casual Oxford
2018/04/29 19:34:36,B01ND3Z3DZ,65.0,Men's Barnes Casual Oxford
2018/04/29 19:34:48,B01ND3Z3DZ,65.0,Men's Barnes Casual Oxford
2018/04/29 19:34:59,B01ND3Z3DZ,47.0,Men's Barnes Casual Oxford
2018/04/29 19:35:14,B01ND3Z3DZ,50.0,Men's Barnes Casual Oxford
2018/04/29 19:35:33,B01ND3Z3DZ,65.0,Men's Barnes Casual Oxford
2018/04/29 19:36:07,B01ND3Z3DZ,65.0,Men's Barnes Casual Oxford
2018/05/18 01:31:54,B01ND3Z3DZ,55.45,"b""Men's Barnes Casual Oxford"""
2018/05/24 21:22:25,B01ND3Z3DZ,52.36,"b""Men's Barnes Casual Oxford"""
2018/07/25 01:11:25,B01ND3Z3DZ,65.0,"b""Men's Barnes Casual Oxford"""
2018/08/03,B01ND3Z3DZ,65.0,"b""Men's Barnes Casual Oxford"""
